_id,detecciones,total_escaneos,ratio
K7GW,151,157,0.9617834394904459
McAfee,146,150,0.9733333333333334
Fortinet,142,157,0.9044585987261147
Avira,142,157,0.9044585987261147
DrWeb,142,157,0.9044585987261147
Ikarus,140,143,0.9790209790209791
Cynet,140,155,0.9032258064516129
Kaspersky,140,151,0.9271523178807947
CAT-QuickHeal,139,157,0.8853503184713376
McAfee-GW-Edition,138,148,0.9324324324324325
AhnLab-V3,135,157,0.8598726114649682
BitDefenderFalx,130,145,0.896551724137931
Trustlook,129,145,0.8896551724137931
SymantecMobileInsight,129,154,0.8376623376623377
Avast-Mobile,127,157,0.8089171974522293
ESET-NOD32,123,157,0.7834394904458599
Symantec,123,157,0.7834394904458599
AegisLab,97,151,0.6423841059602649
Sophos,93,153,0.6078431372549019
MaxSecure,84,154,0.5454545454545454
Qihoo-360,82,157,0.5222929936305732
ZoneAlarm,81,155,0.5225806451612903
NANO-Antivirus,74,157,0.4713375796178344
Microsoft,74,144,0.5138888888888888
Cyren,45,157,0.28662420382165604
Zillya,37,136,0.27205882352941174
Alibaba,35,145,0.2413793103448276
Tencent,22,116,0.1896551724137931
Avast,17,135,0.1259259259259259
AVG,17,17,1.0
Kingsoft,13,153,0.08496732026143791
Antiy-AVL,12,149,0.08053691275167785
Comodo,12,155,0.07741935483870968
Sangfor,11,98,0.11224489795918367
F-Secure,10,157,0.06369426751592357
MAX,9,157,0.05732484076433121
ClamAV,5,156,0.03205128205128205
Jiangmin,4,156,0.02564102564102564
GData,4,157,0.025477707006369428
Emsisoft,3,157,0.01910828025477707
FireEye,3,157,0.01910828025477707
Yandex,3,157,0.01910828025477707
BitDefender,3,157,0.01910828025477707
Zoner,2,152,0.013157894736842105
Rising,2,156,0.01282051282051282
MicroWorld-eScan,1,157,0.006369426751592357
Gridinsoft,1,157,0.006369426751592357
Arcabit,1,157,0.006369426751592357
Ad-Aware,1,157,0.006369426751592357
Malwarebytes,0,157,0.0
Elastic,0,1,0.0
CMC,0,157,0.0
ViRobot,0,157,0.0
Panda,0,156,0.0
Baidu,0,133,0.0
SentinelOne,0,9,0.0
BitDefenderTheta,0,157,0.0
TrendMicro-HouseCall,0,156,0.0
SUPERAntiSpyware,0,157,0.0
ALYac,0,141,0.0
VBA32,0,157,0.0
TrendMicro,0,120,0.0
K7AntiVirus,0,157,0.0
TACHYON,0,157,0.0
Bkav,0,152,0.0
VIPRE,0,157,0.0
